metric,estimate,lower,upper,n,n_clusters,method,label,model
pearson_B_U,-0.23247651582489953,-0.4160012115838248,0.006998524037251894,30,10,question_cluster_bootstrap,,
spearman_B_U,-0.12151011024052918,-0.3591552298516049,0.09695356516975201,30,10,question_cluster_bootstrap,,
pearson_R_U,0.025155977869817416,-0.22678200530634451,0.33203649244653866,30,10,question_cluster_bootstrap,,
pearson_embedding_R_U,0.025155977869817416,-0.22922031418606453,0.3359308901437837,30,10,question_cluster_bootstrap,,
pearson_hybrid_R_U,-0.2636528525796161,-0.5106071059231325,0.027369219979556367,30,10,question_cluster_bootstrap,,
naive_pearson_B_U,-0.23247651582489953,-0.4490472781860299,0.1446508416853647,30,,,,
naive_spearman_B_U,-0.12151011024052918,-0.3875032850304369,0.15751017700564157,30,,,,
naive_pearson_R_U,0.025155977869817416,-0.33990108540859376,0.42406561080403044,30,,,,
naive_pearson_embedding_R_U,0.025155977869817416,-0.3402959371923321,0.4352327798054346,30,,,,
naive_pearson_hybrid_R_U,-0.2636528525796161,-0.5515987151626849,0.13806084732103643,30,,,,
pearson_R_U_within_label,-0.3291138177866147,-0.895692292758019,0.7304751866965334,7,7,question_cluster_bootstrap,harmful,
pearson_R_U_within_label,0.05010135530904826,-0.41131311287609446,0.6046849041014258,15,10,question_cluster_bootstrap,irrelevant,
pearson_R_U_within_label,0.12143250932992515,-0.5520056212448133,0.8370496005927966,8,8,question_cluster_bootstrap,useful,
top_relevance_negative_U,0.3333333333333333,0.0,0.6666666666666666,6,,,,
roc_auc,0.8194444444444444,0.6,0.996874999999999,27,10,question_cluster_bootstrap_on_oof_predictions,,R
average_precision,0.9756446374403029,0.9400159561299267,0.9999999999999999,27,10,question_cluster_bootstrap_on_oof_predictions,,R
roc_auc,0.3819444444444444,0.13169258373205742,0.6466666666666667,27,10,question_cluster_bootstrap_on_oof_predictions,,B
average_precision,0.8944165337586389,0.7248633641490785,0.9744073145827532,27,10,question_cluster_bootstrap_on_oof_predictions,,B
roc_auc,0.8194444444444444,0.6,1.0,27,10,question_cluster_bootstrap_on_oof_predictions,,R_plus_B
average_precision,0.9756446374403029,0.939085164057275,1.0,27,10,question_cluster_bootstrap_on_oof_predictions,,R_plus_B
