metric,estimate,lower,upper,n,n_clusters,method,label,model
pearson_B_U,0.27781993244075376,0.12863089032969074,0.41144500258263456,60,20,question_cluster_bootstrap,,
spearman_B_U,0.2545194493626032,0.01597709389685183,0.43369144305279705,60,20,question_cluster_bootstrap,,
pearson_R_U,0.14344784954665948,-0.08762007027640098,0.365350856762261,60,20,question_cluster_bootstrap,,
pearson_embedding_R_U,0.14344784954665948,-0.08835121947699688,0.3780334799557648,60,20,question_cluster_bootstrap,,
pearson_hybrid_R_U,-0.1268715730362254,-0.31180422166644345,0.06103417537331309,60,20,question_cluster_bootstrap,,
naive_pearson_B_U,0.27781993244075376,0.16580084906678683,0.4089965113516828,60,,,,
naive_spearman_B_U,0.2545194493626032,0.0702911627498479,0.43874101150346595,60,,,,
naive_pearson_R_U,0.14344784954665948,-0.08703823268263908,0.3928496178878464,60,,,,
naive_pearson_embedding_R_U,0.14344784954665948,-0.10314938083822969,0.3819557330231663,60,,,,
naive_pearson_hybrid_R_U,-0.1268715730362254,-0.3387799293801665,0.1112868530568875,60,,,,
pearson_R_U_within_label,0.2384633129209101,-0.17166055975410327,0.5930290291513393,14,14,question_cluster_bootstrap,harmful,
pearson_R_U_within_label,-0.07220991499493697,-0.4070246279401186,0.29962750216165746,30,20,question_cluster_bootstrap,irrelevant,
pearson_R_U_within_label,-0.1847753377785789,-0.6343893507171652,0.5863118148893698,16,16,question_cluster_bootstrap,useful,
top_relevance_negative_U,0.4166666666666667,0.16666666666666666,0.6666666666666666,12,,,,
roc_auc,0.49603174603174605,0.3240530303030303,0.6713423295454544,50,20,question_cluster_bootstrap_on_oof_predictions,,R
average_precision,0.6963097986297402,0.5854039159185784,0.879072412785384,50,20,question_cluster_bootstrap_on_oof_predictions,,R
roc_auc,0.35019841269841273,0.14414335664335665,0.5856028086910439,50,20,question_cluster_bootstrap_on_oof_predictions,,B
average_precision,0.6242460108057167,0.5231774558429098,0.777224494782108,50,20,question_cluster_bootstrap_on_oof_predictions,,B
roc_auc,0.5575396825396826,0.3808836996336996,0.7379836288582419,50,20,question_cluster_bootstrap_on_oof_predictions,,R_plus_B
average_precision,0.7152635557395317,0.6074039940755963,0.877472069970709,50,20,question_cluster_bootstrap_on_oof_predictions,,R_plus_B
