agent_name,task_family,task_score,deterministic_score,task_success_rate,useful_memory_precision,useful_memory_recall,useful_memory_f1,harmful_memory_rejection_rate,irrelevant_memory_rejection_rate,outdated_memory_rejection_rate,poisoned_memory_adoption_rate,context_dependent_memory_accuracy,num_retrieved_memories,num_selected_memories,input_tokens,output_tokens,total_tokens,cost_usd,latency_seconds
cmi,abstention,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,3.0,0.0,353.0,176.0,529.0,0.0,6.175041198730469e-05
cmi,conflicting_memories,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,3.0,1.0,408.5,96.0,504.5,0.0,5.9723854064941406e-05
cmi,context_specific_preference,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,3.0,0.0,393.0,82.0,475.0,0.0,6.230672200520833e-05
cmi,multi_hop_memory,0.65,0.65,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,3.0,0.0,355.0,96.0,451.0,0.0,6.16312026977539e-05
cmi,poisoned_memory,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,3.0,1.0,400.0,130.0,530.0,0.0,6.878376007080078e-05
cmi,preference_update,0.8833333333333333,0.8833333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,0.0,1.0,3.0,0.6666666666666666,387.6666666666667,158.0,545.6666666666666,0.0,6.588300069173177e-05
cmi,procedural_memory,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,3.0,1.0,397.0,128.0,525.0,0.0,6.67572021484375e-05
cmi,spurious_semantic_trap,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,3.0,0.0,372.0,148.0,520.0,0.0,6.119410196940105e-05
full_history,abstention,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,3.0,39.0,22.0,61.0,0.0,1.1920928955078125e-05
full_history,conflicting_memories,1.0,1.0,1.0,0.3333333333333333,1.0,0.5,0.0,0.0,0.0,1.0,1.0,3.0,3.0,48.0,16.0,64.0,0.0,8.821487426757812e-06
