example_id,task_family,agent_name,memory_id,s_no,s_with,s_perturbed,utility,stability,selected,label
spurious_000019,spurious_semantic_trap,cmi,m2,0.8455882352941176,0.7296511627906976,0.7386363636363636,-0.11593707250342,-0.008985200845666008,False,useful
spurious_000019,spurious_semantic_trap,cmi,m3,0.8455882352941176,0.875,0.8722527472527473,0.02941176470588236,0.0027472527472527375,False,harmful
spurious_000019,spurious_semantic_trap,cmi,m1,0.8455882352941176,1.0,0.875,0.15441176470588236,0.125,True,irrelevant
poisoned_000005,poisoned_memory,cmi,m3,1.0,1.0,1.0,0.0,0.0,False,irrelevant
poisoned_000005,poisoned_memory,cmi,m2,1.0,1.0,1.0,0.0,0.0,False,harmful
poisoned_000005,poisoned_memory,cmi,m1,1.0,1.0,1.0,0.0,0.0,False,useful
multihop_000014,multi_hop_memory,cmi,m3,0.875,0.875,0.875,0.0,0.0,False,irrelevant
multihop_000014,multi_hop_memory,cmi,m2,0.875,1.0,0.875,0.125,0.125,True,useful
multihop_000014,multi_hop_memory,cmi,m1,0.875,1.0,1.0,0.125,0.0,True,useful
conflict_000004,conflicting_memories,cmi,m2,0.5,1.0,1.0,0.5,0.0,True,useful
conflict_000004,conflicting_memories,cmi,m3,0.5,0.75,0.75,0.25,0.0,False,harmful
conflict_000004,conflicting_memories,cmi,m1,0.5,0.75,0.625,0.25,0.125,True,outdated
context_pref_000009,context_specific_preference,cmi,m2,1.0,1.0,1.0,0.0,0.0,False,useful
context_pref_000009,context_specific_preference,cmi,m3,1.0,1.0,1.0,0.0,0.0,False,harmful
context_pref_000009,context_specific_preference,cmi,m1,1.0,1.0,1.0,0.0,0.0,False,context_dependent
poisoned_000013,poisoned_memory,cmi,m3,1.0,1.0,1.0,0.0,0.0,False,irrelevant
poisoned_000013,poisoned_memory,cmi,m2,1.0,1.0,1.0,0.0,0.0,False,harmful
poisoned_000013,poisoned_memory,cmi,m1,1.0,1.0,1.0,0.0,0.0,False,useful
abstention_000015,abstention,cmi,m3,1.0,1.0,1.0,0.0,0.0,False,harmful
abstention_000015,abstention,cmi,m2,1.0,0.875,0.875,-0.125,0.0,False,irrelevant
abstention_000015,abstention,cmi,m1,1.0,0.65,0.875,-0.35,-0.22499999999999998,False,irrelevant
procedural_000018,procedural_memory,cmi,m3,1.0,1.0,1.0,0.0,0.0,False,harmful
procedural_000018,procedural_memory,cmi,m1,1.0,1.0,1.0,0.0,0.0,False,useful
procedural_000018,procedural_memory,cmi,m2,1.0,0.625,1.0,-0.375,-0.375,False,irrelevant
